"company_name","account_number","country","accounting_year","reporting_period_to","ticker_symbol","isin","industry_activity_group","reported_scope_1_metric_tonnes_co2e","reported_scope_1_source","estimated_scope_1_metric_tonnes_co2e","estimated_scope_1_model_type","estimated_scope_1_model_quality","scope_1_comments","reported_scope_2_metric_tonnes_co2e","reported_scope_2_source","estimated_scope_2_metric_tonnes_co2e","estimated_scope_2_model_type","estimated_scope_2_model_quality","scope_2_comments"
"Alaska Air Group","31585","USA","2011",,"ALK US","US0116591092","Air Transportation - Airlines","3880021","Company Submitted Data",,,,,"12855","Company Submitted Data",,,,
"Alaska Air Group","31585","USA","2012",,"ALK US","US0116591092","Air Transportation - Airlines","4070000","CSR Report",,,,,"13100","CSR Report",,,,
"Alaska Air Group","31585","USA","2013",,"ALK US","US0116591092","Air Transportation - Airlines","4324100.1","CSR Report",,,,,"12700","CSR Report",,,,
"Albemarle Corp.","40180","USA","2012",,"ALB US","US0126531013","Chemicals","752000","CSR Report",,,,,"376000","CSR Report",,,,
"Albemarle Corp.","40180","USA","2011",,"ALB US","US0126531013","Chemicals","706000","CSR Report",,,,,"379000","CSR Report",,,,
"Albemarle Corp.","40180","USA","2013",,"ALB US","US0126531013","Chemicals","747000","CSR Report",,,,,"393000","CSR Report",,,,
"Alcoa Inc.","511","USA","2011","2011-12-31T00:00:00.000","AA US","US0138171014","Mining - Iron, Aluminum, Other Metals","30628104","CDP Response",,,,,"16626602","CDP Response",,,,
"Alcoa Inc.","511","USA","2012","2012-12-31T00:00:00.000","AA US","US0138171014","Mining - Iron, Aluminum, Other Metals","29842159","CDP Response",,,,,"16659736","CDP Response",,,,
"Alcoa Inc.","511","USA","2013","2013-12-31T00:00:00.000","AA US","US0138171014","Mining - Iron, Aluminum, Other Metals","28227078","CDP Response",,,,,"15134829","CDP Response",,,,
"Al EZZ Steel Rebars (Ezzsteel)","21348","Egypt","2012",,"IRAX EY","EGS3D041C017","Mining - Iron, Aluminum, Other Metals",,,"670000","Model 2","4",,,,"600000","Model 2","2",
"Al EZZ Steel Rebars (Ezzsteel)","21348","Egypt","2013",,"IRAX EY","EGS3D041C017","Mining - Iron, Aluminum, Other Metals",,,"620000","Model 2","4",,,,"560000","Model 2","3",
"Al EZZ Steel Rebars (Ezzsteel)","21348","Egypt","2011",,"IRAX EY","EGS3D041C017","Mining - Iron, Aluminum, Other Metals",,,"500000","Model 2","4",,,,"320000","Model 2","2",
"Alimentation Couche-Tard Inc.","537","Canada","2011",,"ATD/B CN","CA01626P4033","Food & Staples Retailing",,,"270000","Model 2","3",,,,"650000","Model 2","4",
"Alimentation Couche-Tard Inc.","537","Canada","2012",,"ATD/B CN","CA01626P4033","Food & Staples Retailing",,,"380000","Model 2","3",,,,"850000","Model 2","4",
"Alimentation Couche-Tard Inc.","537","Canada","2013",,"ATD/B CN","CA01626P4033","Food & Staples Retailing",,,"430000","Model 2","4",,,,"900000","Model 2","4",
"Alpek SAB de CV","54540","Mexico","2011",,"ALPEKA MM","MX01AL0C0004","Chemicals",,,"1900000","Model 2","2",,,,"620000","Model 2","1",
"Alpek SAB de CV","54540","Mexico","2012",,"ALPEKA MM","MX01AL0C0004","Chemicals",,,"1900000","Model 2","2",,,,"550000","Model 2","1",
"Alpek SAB de CV","54540","Mexico","2013",,"ALPEKA MM","MX01AL0C0004","Chemicals",,,"1500000","Model 2","2",,,,"530000","Model 2","2",
"Alstom","622","France","2011","2011-12-31T00:00:00.000","ALO FP","FR0010220475","Electrical Equipment and Machinery","286345","CDP Response",,,,,"341345","CDP Response",,,,
"Alstom","622","France","2012","2012-12-31T00:00:00.000","ALO FP","FR0010220475","Electrical Equipment and Machinery","321462","CDP Response",,,,,"326431","CDP Response",,,,
"Alstom","622","France","2013","2013-12-31T00:00:00.000","ALO FP","FR0010220475","Electrical Equipment and Machinery","314941","CDP Response",,,,,"324132","CDP Response",,,,
"Alumindo Light Metal Industry Tbk PT","55020","Indonesia","2011",,"ALMI IJ","ID1000130909","Mining - Iron, Aluminum, Other Metals",,,"18000","Model 2","3",,,,"22000","Model 2","0",
"Alumindo Light Metal Industry Tbk PT","55020","Indonesia","2012",,"ALMI IJ","ID1000130909","Mining - Iron, Aluminum, Other Metals",,,"10000","Model 2","3",,,,"8000","Model 2","3",
"Alumindo Light Metal Industry Tbk PT","55020","Indonesia","2013",,"ALMI IJ","ID1000130909","Mining - Iron, Aluminum, Other Metals",,,"7200","Model 2","4",,,,"14000","Model 2","4",
"Aluminium Bahrain BSC","55023","Bahrain","2011",,"ALBH BI","BH0006000044","Mining - Iron, Aluminum, Other Metals",,,"350000","Model 2","3",,,,"360000","Model 2","0",
"Aluminium Bahrain BSC","55023","Bahrain","2012",,"ALBH BI","BH0006000044","Mining - Iron, Aluminum, Other Metals",,,"230000","Model 2","3",,,,"160000","Model 2","3",
"Aluminium Bahrain BSC","55023","Bahrain","2013",,"ALBH BI","BH0006000044","Mining - Iron, Aluminum, Other Metals",,,"200000","Model 2","4",,,,"230000","Model 2","4",
"Ambev - Cia de Bebidas das Américas","667","Brazil","2011","2011-12-31T00:00:00.000","ABEV3 BZ","BRABEVACNOR1","Food & Beverage Processing","775768","CDP Response",,,,,"185564","CDP Response",,,,
"Ambev - Cia de Bebidas das Américas","667","Brazil","2012","2012-12-31T00:00:00.000","ABEV3 BZ","BRABEVACNOR1","Food & Beverage Processing","757236","CDP Response",,,,,"235799","CDP Response",,,,
"Ambev - Cia de Bebidas das Américas","667","Brazil","2013",,"ABEV3 BZ","BRABEVACNOR1","Food & Beverage Processing",,,,,,"See Another",,,,,,"See Another"
"American Airlines Group Inc","660","USA","2011","2011-12-31T00:00:00.000","AAL US","US02376R1023","Air Transportation - Airlines","26851000","CDP Response",,,,,"463300","CDP Response",,,,
"American Airlines Group Inc","660","USA","2012","2012-12-31T00:00:00.000","AAL US","US02376R1023","Air Transportation - Airlines","26715000","CDP Response",,,,,"462000","CDP Response",,,,
"American Airlines Group Inc","660","USA","2013","2013-12-31T00:00:00.000","AAL US","US02376R1023","Air Transportation - Airlines","27639750","CDP Response",,,,,"409700","CDP Response",,,,
"AMG Advanced Metallurgical Group NV","713","Netherlands","2011",,"AMG NA","NL0000888691","Mining - Iron, Aluminum, Other Metals",,,"200000","Model 2","3",,,,"93000","Model 2","4",
"AMG Advanced Metallurgical Group NV","713","Netherlands","2012","2012-12-31T00:00:00.000","AMG NA","NL0000888691","Mining - Iron, Aluminum, Other Metals","190185","CDP Response",,,,,"289114","CDP Response",,,,
"AMG Advanced Metallurgical Group NV","713","Netherlands","2013","2013-12-31T00:00:00.000","AMG NA","NL0000888691","Mining - Iron, Aluminum, Other Metals","183326","CDP Response",,,,,"396784","CDP Response",,,,
"ANADOLU EFES B?RACILIK VE MALT SANAY?? A.?.","21109","Turkey","2013",,"AEFES TI","TRAAEFES91A9","Food & Beverage Processing","168401.14","Company Submitted Data",,,,,"141381.98","Company Submitted Data",,,,
