ticker,year,total_emissions,log_emissions,GICS Sector,ai_exposure,high_ai_exposure,post_chatgpt,treatment
AEP,2019,61457626.066,17.93385850451676,Utilities,42.0,0,0,0
AEP,2020,47943299.814,17.685529637624867,Utilities,42.0,0,0,0
AEP,2021,57953296.248,17.87514802428498,Utilities,42.0,0,0,0
AEP,2022,54588657.346,17.815336696537074,Utilities,42.0,0,0,0
AEP,2023,47932477.914,17.685303889264297,Utilities,42.0,0,1,0
AES,2010,21806276.498,16.897708444931045,Utilities,42.0,0,0,0
AES,2011,21454356.034,16.88143830783939,Utilities,42.0,0,0,0
AES,2012,20581387.56,16.83989775742548,Utilities,42.0,0,0,0
AES,2013,21798640.096,16.897358190770536,Utilities,42.0,0,0,0
AES,2014,22406117.98,16.924844648271478,Utilities,42.0,0,0,0
AES,2015,19115442.956,16.76600715037263,Utilities,42.0,0,0,0
AES,2016,17614022.31,16.684205921725795,Utilities,42.0,0,0,0
AES,2017,15690195.528,16.56854665031592,Utilities,42.0,0,0,0
AES,2018,16636602.256,16.627115841269717,Utilities,42.0,0,0,0
AES,2019,18311677.888,16.72304960485572,Utilities,42.0,0,0,0
AES,2020,15635681.748,16.565066215845192,Utilities,42.0,0,0,0
AES,2021,18539335.316,16.735405320050237,Utilities,42.0,0,0,0
AES,2022,18959295.624,16.75780495621271,Utilities,42.0,0,0,0
AES,2023,15677526.79,16.567738894001792,Utilities,42.0,0,1,0
ALB,2010,309466.2,12.642607388107912,Materials,37.2,0,0,0
ALB,2011,312218.78,12.65146264187906,Materials,37.2,0,0,0
ALB,2012,295572.492,12.596672788798314,Materials,37.2,0,0,0
ALB,2013,274804.538,12.523818991965694,Materials,37.2,0,0,0
ALB,2014,309379.306,12.64232656286509,Materials,37.2,0,0,0
ALB,2015,294294.964,12.592341220230145,Materials,37.2,0,0,0
ALB,2016,280559.422,12.544544388947516,Materials,37.2,0,0,0
ALB,2017,292780.84,12.587183037287936,Materials,37.2,0,0,0
ALB,2018,295958.73,12.597978676753627,Materials,37.2,0,0,0
ALB,2019,300141.22,12.612011707970904,Materials,37.2,0,0,0
ALB,2020,297095.734,12.601813068458604,Materials,37.2,0,0,0
ALB,2021,290355.862,12.578866004066649,Materials,37.2,0,0,0
ALB,2022,297765.492,12.604064874432597,Materials,37.2,0,0,0
ALB,2023,290882.972,12.580679744993532,Materials,37.2,0,1,0
AMGN,2010,27381.406,10.217655969342562,Health Care,65.1,1,0,0
AMGN,2011,28911.132,10.272016578399894,Health Care,65.1,1,0,0
AMGN,2012,27348.258,10.216444677683205,Health Care,65.1,1,0,0
AMGN,2013,28273.752,10.24972452994674,Health Care,65.1,1,0,0
AMGN,2014,28997.18,10.274988348378518,Health Care,65.1,1,0,0
AMGN,2015,31530.738,10.35874987312587,Health Care,65.1,1,0,0
AMGN,2016,28167.744,10.245968273436938,Health Care,65.1,1,0,0
AMGN,2017,28148.594,10.245288210728482,Health Care,65.1,1,0,0
AMGN,2018,25065.296,10.129279433926447,Health Care,65.1,1,0,0
AMGN,2019,35993.516,10.491121872501013,Health Care,65.1,1,0,0
AMGN,2020,49616.696,10.812102823277788,Health Care,65.1,1,0,0
AMGN,2021,41579.632,10.635389760911691,Health Care,65.1,1,0,0
AMGN,2022,36979.004,10.518132613107687,Health Care,65.1,1,0,0
AMGN,2023,61780.352,11.031356850338007,Health Care,65.1,1,1,1
APA,2021,138781.682,11.840664549818037,Energy,45.0,1,0,0
APA,2022,135699.842,11.81820805066738,Energy,45.0,1,0,0
APA,2023,125913.78,11.743360607899957,Energy,45.0,1,1,1
APD,2010,8603962.67,15.967733546906171,Materials,37.2,0,0,0
APD,2011,9283229.038,16.043720108641665,Materials,37.2,0,0,0
APD,2012,9825870.252,16.100529388836367,Materials,37.2,0,0,0
APD,2013,10712115.424,16.18688603485271,Materials,37.2,0,0,0
APD,2014,11412856.964,16.250251169351838,Materials,37.2,0,0,0
APD,2015,11407199.552,16.249755341340535,Materials,37.2,0,0,0
APD,2016,11545450.156,16.261802078049648,Materials,37.2,0,0,0
APD,2017,11702932.658,16.275350108337964,Materials,37.2,0,0,0
APD,2018,11867543.422,16.28931787256471,Materials,37.2,0,0,0
APD,2019,12168429.054,16.314355455327615,Materials,37.2,0,0,0
APD,2020,11036496.256,16.216718270933825,Materials,37.2,0,0,0
APD,2021,12455740.834,16.33769226604483,Materials,37.2,0,0,0
APD,2022,13342137.824,16.406437917234193,Materials,37.2,0,0,0
APD,2023,14072905.322,16.45976196938013,Materials,37.2,0,1,0
ATO,2010,35044.568,10.464404436535997,Utilities,42.0,0,0,0
ATO,2011,38919.492,10.56927617753556,Utilities,42.0,0,0,0
ATO,2012,73394.936,11.20362384522234,Utilities,42.0,0,0,0
ATO,2013,57192.964,10.954203647324265,Utilities,42.0,0,0,0
ATO,2014,53240.13,10.882586496926933,Utilities,42.0,0,0,0
ATO,2015,49409.726,10.807922805113755,Utilities,42.0,0,0,0
ATO,2016,45016.342,10.714803072291291,Utilities,42.0,0,0,0
ATO,2017,50917.822,10.837987918075381,Utilities,42.0,0,0,0
ATO,2018,44500.698,10.70328262472973,Utilities,42.0,0,0,0
ATO,2019,131647.468,11.78789052794068,Utilities,42.0,0,0,0
ATO,2020,141033.134,11.856757225168817,Utilities,42.0,0,0,0
ATO,2021,135293.412,11.815208512492969,Utilities,42.0,0,0,0
ATO,2022,133303.636,11.80039228425671,Utilities,42.0,0,0,0
ATO,2023,130555.092,11.779558237151905,Utilities,42.0,0,1,0
AVGO,2011,40621.654,10.612081170272269,Information Technology,81.5,1,0,0
AVGO,2012,58920.487,10.983961107868423,Information Technology,81.5,1,0,0
AVGO,2013,94031.929,11.451400308419078,Information Technology,81.5,1,0,0
AVGO,2014,213562.45988,12.271689303456853,Information Technology,81.5,1,0,0
AVGO,2015,288703.708578,12.573159675105835,Information Technology,81.5,1,0,0
AVGO,2016,306331.515775,12.63242644381414,Information Technology,81.5,1,0,0
AVGO,2017,201755.514062,12.214816873402777,Information Technology,81.5,1,0,0
AVGO,2018,172334.225758,12.057196845949784,Information Technology,81.5,1,0,0
AVGO,2019,182824.213364,12.11628585717799,Information Technology,81.5,1,0,0
AVGO,2020,139671.188379,11.847053444387855,Information Technology,81.5,1,0,0
AVGO,2021,125323.092167,11.738658398275426,Information Technology,81.5,1,0,0
AVGO,2022,78584.468743,11.271942085282358,Information Technology,81.5,1,0,0
AVGO,2023,34457.051985,10.447497978739422,Information Technology,81.5,1,1,1
BA,2010,155923.814,11.95712920851242,Industrials,50.3,1,0,0
BA,2011,168592.24199999997,12.035244240709773,Industrials,50.3,1,0,0
BA,2012,161982.028,11.995246843294142,Industrials,50.3,1,0,0
BA,2013,164168.174,12.008652723905985,Industrials,50.3,1,0,0
BA,2014,165639.588,12.017575587520385,Industrials,50.3,1,0,0
BA,2015,152514.548,11.935021823930999,Industrials,50.3,1,0,0
BA,2016,161552.06799999997,11.992588962096768,Industrials,50.3,1,0,0
BA,2017,167443.146,12.028405117921787,Industrials,50.3,1,0,0
BA,2018,161902.016,11.994752768275413,Industrials,50.3,1,0,0
BA,2019,174933.376,12.072166188291998,Industrials,50.3,1,0,0
BA,2020,154943.394,11.95082158314869,Industrials,50.3,1,0,0
BA,2021,156991.05800000002,11.96395049706367,Industrials,50.3,1,0,0
BA,2022,158302.1,11.972266828747477,Industrials,50.3,1,0,0
BA,2023,151144.822,11.92600035840976,Industrials,50.3,1,1,1
BAX,2022,39606.0,10.586761149297775,Health Care,65.1,1,0,0
BAX,2023,43203.836,10.673707712411334,Health Care,65.1,1,1,1
BF.B,2010,46217.392,10.74113309308904,Consumer Staples,29.6,0,0,0
BF.B,2011,47726.612,10.773265377321554,Consumer Staples,29.6,0,0,0
BF.B,2012,43578.058,10.682331992845077,Consumer Staples,29.6,0,0,0
BF.B,2013,47951.154,10.777959001096166,Consumer Staples,29.6,0,0,0
BF.B,2014,42790.828,10.664102428760122,Consumer Staples,29.6,0,0,0
BF.B,2015,45737.036,10.730685528307715,Consumer Staples,29.6,0,0,0
BF.B,2016,42268.736,10.651826647977101,Consumer Staples,29.6,0,0,0
BF.B,2017,32372.696,10.385101520198381,Consumer Staples,29.6,0,0,0
BF.B,2018,58824.412,10.982329217395941,Consumer Staples,29.6,0,0,0
BF.B,2019,57437.848,10.95847614781068,Consumer Staples,29.6,0,0,0
BF.B,2020,56994.348,10.950724929450994,Consumer Staples,29.6,0,0,0
BF.B,2021,70601.044,11.164814374903596,Consumer Staples,29.6,0,0,0
BF.B,2022,94436.992,11.455698728796362,Consumer Staples,29.6,0,0,0
BF.B,2023,90072.76,11.408384169215681,Consumer Staples,29.6,0,1,0
BIIB,2010,35793.65,10.48555371988054,Health Care,65.1,1,0,0
BIIB,2011,33966.38,10.433155931303544,Health Care,65.1,1,0,0
BIIB,2012,30243.688,10.317075844733136,Health Care,65.1,1,0,0
BIIB,2013,76311.964,11.242598111096656,Health Care,65.1,1,0,0
BIIB,2014,31908.226,10.370650463258904,Health Care,65.1,1,0,0
BIIB,2015,32786.224,10.397794206297533,Health Care,65.1,1,0,0
BIIB,2016,28958.892,10.27366711721093,Health Care,65.1,1,0,0
BIIB,2017,29926.634,10.306537546602762,Health Care,65.1,1,0,0
BIIB,2018,30257.788,10.317541933665126,Health Care,65.1,1,0,0
BIIB,2019,29570.338,10.29456086038557,Health Care,65.1,1,0,0
BIIB,2020,27100.996,10.207362657292064,Health Care,65.1,1,0,0
BIIB,2021,29388.44,10.288390705131397,Health Care,65.1,1,0,0
BIIB,2022,29755.04,10.30078741557703,Health Care,65.1,1,0,0
BIIB,2023,28268.192,10.24952786874398,Health Care,65.1,1,1,1
BMY,2010,100193.018,11.514863765251947,Health Care,65.1,1,0,0
BMY,2011,97630.918,11.488959747627483,Health Care,65.1,1,0,0
BMY,2012,93385.292,11.444499846850375,Health Care,65.1,1,0,0
BMY,2013,103457.356,11.546924453232144,Health Care,65.1,1,0,0
BMY,2014,100091.202,11.513847060170884,Health Care,65.1,1,0,0
BMY,2015,95830.95,11.470351415664641,Health Care,65.1,1,0,0
BMY,2016,93792.578,11.44885166783173,Health Care,65.1,1,0,0
BMY,2017,97711.98,11.489789684886995,Health Care,65.1,1,0,0
BMY,2018,93262.324,11.443182212017511,Health Care,65.1,1,0,0
BMY,2019,84259.166,11.341664505623637,Health Care,65.1,1,0,0
BMY,2020,83474.864,11.332312815162602,Health Care,65.1,1,0,0
BMY,2021,90192.858,11.409716610605887,Health Care,65.1,1,0,0
BMY,2022,91669.248,11.425953156308331,Health Care,65.1,1,0,0
BMY,2023,95102.74,11.46272357478438,Health Care,65.1,1,1,1
BRK.B,2010,43835284.56399,17.595949657503734,Financials,81.2,1,0,0
BRK.B,2011,40613260.87283,17.519605218348445,Financials,81.2,1,0,0
BRK.B,2012,44207380.444,17.60440233410029,Financials,81.2,1,0,0
BRK.B,2013,46531561.774,17.655641409631205,Financials,81.2,1,0,0
BRK.B,2014,44541174.762,17.611924617334616,Financials,81.2,1,0,0
BRK.B,2015,45262051.794,17.627979552731055,Financials,81.2,1,0,0
BRK.B,2016,43694034.17,17.592722155783857,Financials,81.2,1,0,0
BRK.B,2017,41661692.924,17.545092653652187,Financials,81.2,1,0,0
BRK.B,2018,43181593.554,17.580924910437663,Financials,81.2,1,0,0
BRK.B,2019,42136369.422,17.556421831211715,Financials,81.2,1,0,0
BRK.B,2020,40552566.762,17.518109659874742,Financials,81.2,1,0,0
BRK.B,2021,40999667.638,17.52907454263592,Financials,81.2,1,0,0
BRK.B,2022,39828496.218,17.500093224543953,Financials,81.2,1,0,0
BRK.B,2023,36757318.922,17.419847945340127,Financials,81.2,1,1,1
CAG,2010,112640.324,11.631963925584152,Consumer Staples,29.6,0,0,0
