ticker,year,total_emissions,num_facilities,primary_state,cdp_scope_1,cdp_scope_2,scope_1_best,total_with_scope2
BIIB,2017,29926.634,1,MA,,,29926.634,29926.634
BIIB,2018,30257.788,1,MA,,,30257.788,30257.788
BIIB,2019,29570.338,1,MA,,,29570.338,29570.338
BIIB,2020,27100.996,1,MA,,,27100.996,27100.996
BIIB,2021,29388.44,1,MA,,,29388.44,29388.44
BIIB,2022,29755.04,1,MA,,,29755.04,29755.04
BIIB,2023,28268.192,1,MA,,,28268.192,28268.192
BMY,2010,100193.018,2,NJ,,,100193.018,100193.018
BMY,2011,97630.918,2,NJ,253398.0,270791.0,97630.918,368421.918
BMY,2012,93385.292,2,NJ,279981.0,266968.0,93385.292,360353.292
BMY,2013,103457.356,2,NJ,269734.0,262565.0,103457.356,366022.356
BMY,2014,100091.202,2,NJ,,,100091.202,100091.202
BMY,2015,95830.95,2,NJ,,,95830.95,95830.95
BMY,2016,93792.578,2,NJ,,,93792.578,93792.578
BMY,2017,97711.98,2,NJ,,,97711.98,97711.98
BMY,2018,93262.324,2,NJ,,,93262.324,93262.324
BMY,2019,84259.166,2,NJ,,,84259.166,84259.166
BMY,2020,83474.864,2,NJ,,,83474.864,83474.864
BMY,2021,90192.858,2,NJ,,,90192.858,90192.858
BMY,2022,91669.248,2,NJ,,,91669.248,91669.248
BMY,2023,95102.74,2,NJ,,,95102.74,95102.74
BRK.B,2010,43835284.56399,64,NV,,,43835284.56399,43835284.56399
BRK.B,2011,40613260.87283,72,NV,,,40613260.87283,40613260.87283
BRK.B,2012,44207380.444,75,NV,,,44207380.444,44207380.444
BRK.B,2013,46531561.774,83,NV,,,46531561.774,46531561.774
BRK.B,2014,44541174.762,85,NV,,,44541174.762,44541174.762
BRK.B,2015,45262051.794,89,NV,,,45262051.794,45262051.794
BRK.B,2016,43694034.17,89,NV,,,43694034.17,43694034.17
BRK.B,2017,41661692.924,91,OH,,,41661692.924,41661692.924
BRK.B,2018,43181593.554,99,TX,,,43181593.554,43181593.554
BRK.B,2019,42136369.422,99,TX,,,42136369.422,42136369.422
BRK.B,2020,40552566.762,101,TX,,,40552566.762,40552566.762
BRK.B,2021,40999667.638,103,TX,,,40999667.638,40999667.638
BRK.B,2022,39828496.218,105,TX,,,39828496.218,39828496.218
BRK.B,2023,36757318.922,105,TX,,,36757318.922,36757318.922
CAG,2010,112640.324,2,CA,,,112640.324,112640.324
CAG,2011,105619.452,2,CA,909671.0,1002250.0,105619.452,1107869.452
CAG,2012,98928.376,2,CA,1071303.0,1089063.0,98928.376,1187991.376
CAG,2013,102370.564,2,CA,1078551.0,1078707.0,102370.564,1181077.564
CAG,2014,108596.44,2,CA,,,108596.44,108596.44
CAG,2015,107285.496,2,CA,,,107285.496,107285.496
CAG,2016,103151.312,2,CA,,,103151.312,103151.312
CAG,2017,86053.676,2,CA,,,86053.676,86053.676
CAG,2018,93499.348,2,CA,,,93499.348,93499.348
CAG,2019,123699.984,3,AR,,,123699.984,123699.984
CAG,2020,140014.872,3,AR,,,140014.872,140014.872
CAG,2021,143519.70799999998,3,AR,,,143519.70799999998,143519.70799999998
CAG,2022,158389.452,3,AR,,,158389.452,158389.452
CAG,2023,112660.176,3,AR,,,112660.176,112660.176
CAT,2010,328755.212,6,IL,,,328755.212,328755.212
CAT,2011,524091.99,6,IL,500000.0,1400000.0,524091.99,1924091.99
CAT,2012,502000.014,6,IL,839000.0,1670000.0,502000.014,2172000.014
CAT,2013,512399.052,6,IL,1020000.0,1450000.0,512399.052,1962399.0520000001
CAT,2014,494806.18,6,IL,,,494806.18,494806.18
CAT,2015,464088.65,6,IL,,,464088.65,464088.65
CAT,2016,441832.266,6,IL,,,441832.266,441832.266
CAT,2017,488605.144,6,IL,,,488605.144,488605.144
CAT,2018,531956.56,7,IL,,,531956.56,531956.56
CAT,2019,537013.652,7,IL,,,537013.652,537013.652
CAT,2020,459261.132,7,IL,,,459261.132,459261.132
CAT,2021,471626.776,7,IL,,,471626.776,471626.776
CAT,2022,479805.406,7,IL,,,479805.406,479805.406
CAT,2023,456901.738,7,IL,,,456901.738,456901.738
CEG,2010,7718209.875999999,8,MA,,,7718209.875999999,7718209.875999999
CEG,2011,6500671.6280000005,8,MA,,,6500671.6280000005,6500671.6280000005
CEG,2012,6213022.967999999,8,MA,,,6213022.967999999,6213022.967999999
CEG,2013,4789616.42,8,MA,,,4789616.42,4789616.42
CEG,2014,3268565.446,8,MA,,,3268565.446,3268565.446
CEG,2015,4054841.558,8,MA,,,4054841.558,4054841.558
CEG,2016,5913163.186,8,MA,,,5913163.186,5913163.186
CEG,2017,7199363.757999999,10,MA,,,7199363.757999999,7199363.757999999
CEG,2018,8154254.918,10,MA,,,8154254.918,8154254.918
CEG,2019,8092826.764,10,MA,,,8092826.764,8092826.764
CEG,2020,7509770.68,10,MA,,,7509770.68,7509770.68
CEG,2021,7665565.058,10,MA,,,7665565.058,7665565.058
CEG,2022,8247705.788000001,10,MA,,,8247705.788000001,8247705.788000001
CEG,2023,8941320.546,10,MA,,,8941320.546,8941320.546
CF,2010,14820297.766,5,OK,,,14820297.766,14820297.766
CF,2011,14681864.796,5,OK,1100000.0,1100000.0,14681864.796,15781864.796
CF,2012,14913768.162,5,OK,1200000.0,1000000.0,14913768.162,15913768.162
CF,2013,15024892.678,5,OK,1200000.0,920000.0,15024892.678,15944892.678
CF,2014,14658857.686,5,OK,,,14658857.686,14658857.686
CF,2015,16138570.878,5,OK,,,16138570.878,16138570.878
CF,2016,16427558.374,6,LA,,,16427558.374,16427558.374
CF,2017,20108662.888,6,LA,,,20108662.888,20108662.888
CF,2018,19945452.682,6,LA,,,19945452.682,19945452.682
CF,2019,20985495.304,6,LA,,,20985495.304,20985495.304
CF,2020,20621153.56,6,LA,,,20621153.56,20621153.56
CF,2021,18956070.078,6,LA,,,18956070.078,18956070.078
CF,2022,20703034.516,6,LA,,,20703034.516,20703034.516
CF,2023,20579424.174,6,LA,,,20579424.174,20579424.174
CMS,2010,9012035.286,8,MI,,,9012035.286,9012035.286
CMS,2011,8649024.481999999,8,MI,,,8649024.481999999,8649024.481999999
CMS,2012,10254407.85,8,MI,,,10254407.85,10254407.85
CMS,2013,8807316.348,8,MI,,,8807316.348,8807316.348
CMS,2014,8340563.284,9,MI,,,8340563.284,8340563.284
CMS,2015,10040895.592,9,MI,,,10040895.592,10040895.592
CMS,2016,11377669.43,9,MI,,,11377669.43,11377669.43
CMS,2017,10860688.884,9,MI,,,10860688.884,10860688.884
CMS,2018,11119740.618,9,MI,,,11119740.618,11119740.618
CMS,2019,11073913.442,9,MI,,,11073913.442,11073913.442
CMS,2020,10505380.256,9,MI,,,10505380.256,10505380.256
CMS,2021,11623815.742,9,MI,,,11623815.742,11623815.742
CMS,2022,12226466.656,9,MI,,,12226466.656,12226466.656
CMS,2023,10198676.14,9,MI,,,10198676.14,10198676.14
CNP,2010,4404956.876,2,IN,,,4404956.876,4404956.876
CNP,2011,4076896.928,2,IN,,,4076896.928,4076896.928
CNP,2012,4514767.392,2,IN,,,4514767.392,4514767.392
CNP,2013,4708635.5940000005,2,IN,,,4708635.5940000005,4708635.5940000005
CNP,2014,4960186.318,2,IN,,,4960186.318,4960186.318
CNP,2015,4307398.786,2,IN,,,4307398.786,4307398.786
CNP,2016,3702865.974,2,IN,,,3702865.974,3702865.974
CNP,2017,4356177.198000001,2,IN,,,4356177.198000001,4356177.198000001
CNP,2018,5026967.434,2,IN,,,5026967.434,5026967.434
CNP,2019,4475951.516,2,IN,,,4475951.516,4475951.516
CNP,2020,3537566.934,2,IN,,,3537566.934,3537566.934
CNP,2021,5514933.164,2,IN,,,5514933.164,5514933.164
CNP,2022,4352488.256,2,IN,,,4352488.256,4352488.256
CNP,2023,3741577.852,2,IN,,,3741577.852,3741577.852
COP,2010,614938.772,2,AK,,,614938.772,614938.772
COP,2011,620517.6819999999,2,AK,57981000.0,10024000.0,620517.6819999999,10644517.682
COP,2012,608691.6440000001,2,AK,59400000.0,10800000.0,608691.6440000001,11408691.644
COP,2013,588098.3319999999,2,AK,24171000.0,1638000.0,588098.3319999999,2226098.332
COP,2014,597383.5739999999,2,AK,,,597383.5739999999,597383.5739999999
COP,2015,622116.9580000001,2,AK,,,622116.9580000001,622116.9580000001
COP,2016,615259.952,2,AK,,,615259.952,615259.952
COP,2017,653221.596,2,AK,,,653221.596,653221.596
COP,2018,652974.0939999999,2,AK,,,652974.0939999999,652974.0939999999
COP,2019,639745.428,2,AK,,,639745.428,639745.428
COP,2020,584483.5939999999,2,AK,,,584483.5939999999,584483.5939999999
COP,2021,598302.776,2,AK,,,598302.776,598302.776
COP,2022,576118.594,2,AK,,,576118.594,576118.594
COP,2023,570045.678,2,AK,,,570045.678,570045.678
CTVA,2010,58611.88,1,MI,,,58611.88,58611.88
CTVA,2011,57796.632,1,MI,,,57796.632,57796.632
CTVA,2012,56993.636,1,MI,,,56993.636,56993.636
CTVA,2013,58403.28,1,MI,,,58403.28,58403.28
CTVA,2014,58184.08,1,MI,,,58184.08,58184.08
CTVA,2015,55891.14,1,MI,,,55891.14,55891.14
CTVA,2016,50356.16,1,MI,,,50356.16,50356.16
CTVA,2017,58722.528,1,MI,,,58722.528,58722.528
CTVA,2018,62288.316,1,MI,,,62288.316,62288.316
CTVA,2019,65076.704,1,MI,,,65076.704,65076.704
CTVA,2020,56791.336,1,MI,,,56791.336,56791.336
CTVA,2021,59699.876,1,MI,,,59699.876,59699.876
CTVA,2022,61295.92,1,MI,,,61295.92,61295.92
CTVA,2023,56532.988,1,MI,,,56532.988,56532.988
CVX,2010,17000457.848,17,CA,,,17000457.848,17000457.848
CVX,2011,17092562.59,17,CA,62136044.0,4483820.0,17092562.59,21576382.59
CVX,2012,17181830.422,18,CA,61346995.0,4561010.0,17181830.422,21742840.422
CVX,2013,16979698.504,18,CA,58559220.0,3849319.0,16979698.504,20829017.504
CVX,2014,16945451.39,18,CA,,,16945451.39,16945451.39
CVX,2015,18612446.006,18,CA,,,18612446.006,18612446.006
CVX,2016,18150600.502,18,CA,,,18150600.502,18150600.502
CVX,2017,18345629.78,18,CA,,,18345629.78,18345629.78
CVX,2018,18759928.652,18,CA,,,18759928.652,18759928.652
CVX,2019,17288467.494,19,CA,,,17288467.494,17288467.494
CVX,2020,15988793.43,19,CA,,,15988793.43,15988793.43
CVX,2021,16806846.476,19,CA,,,16806846.476,16806846.476
CVX,2022,15828266.804,19,CA,,,15828266.804,15828266.804
CVX,2023,16013153.746,19,CA,,,16013153.746,16013153.746
CZR,2010,52208.504,1,NV,,,52208.504,52208.504
CZR,2011,53805.148,1,NV,,,53805.148,53805.148
CZR,2012,55826.64,1,NV,,,55826.64,55826.64
CZR,2013,56952.336,1,NV,,,56952.336,56952.336
CZR,2014,59308.376,1,NV,,,59308.376,59308.376
CZR,2015,58366.48,1,NV,,,58366.48,58366.48
CZR,2016,60775.372,1,NV,,,60775.372,60775.372
CZR,2017,57911.832,1,NV,,,57911.832,57911.832
CZR,2018,56588.736,1,NV,,,56588.736,56588.736
CZR,2019,56405.988,1,NV,,,56405.988,56405.988
CZR,2020,41874.292,1,NV,,,41874.292,41874.292
CZR,2021,45674.328,1,NV,,,45674.328,45674.328
CZR,2022,58716.728,1,NV,,,58716.728,58716.728
CZR,2023,56095.788,1,NV,,,56095.788,56095.788
D,2010,35933070.254,19,VA,,,35933070.254,35933070.254
D,2011,31845258.328,20,VA,59004018.0,349938.0,31845258.328,32195196.328
D,2012,31937104.054,22,VA,56812875.0,256934.0,31937104.054,32194038.054
D,2013,35717563.644,22,VA,,,35717563.644,35717563.644
D,2014,38195677.864,23,VA,,,38195677.864,38195677.864
D,2015,39271452.091,24,VA,,,39271452.091,39271452.091
D,2016,40588975.275,24,VA,,,40588975.275,40588975.275
D,2017,36175478.135,24,VA,,,36175478.135,36175478.135
D,2018,35552237.502,26,VA,,,35552237.502,35552237.502
D,2019,32430019.552,26,VA,,,32430019.552,32430019.552
D,2020,33525337.94,26,VA,,,33525337.94,33525337.94
D,2021,32108770.12,26,VA,,,32108770.12,32108770.12
D,2022,31246444.182,26,VA,,,31246444.182,31246444.182
D,2023,28177882.236,26,VA,,,28177882.236,28177882.236
DAL,2010,1546459.4279999998,2,GA,,,1546459.4279999998,1546459.4279999998
DAL,2011,1156497.19,2,GA,31932076.39,416585.02,1156497.19,1573082.21
DAL,2012,386460.76,2,GA,30994534.87,368830.6,386460.76,755291.36
DAL,2013,1357110.636,2,GA,32143942.81,341123.1,1357110.636,1698233.736
DAL,2014,1403041.308,2,GA,,,1403041.308,1403041.308
DAL,2015,1438536.184,2,GA,,,1438536.184,1438536.184
DAL,2016,1398973.314,2,GA,,,1398973.314,1398973.314
DAL,2017,1355968.92,2,GA,,,1355968.92,1355968.92
DAL,2018,1230173.122,2,GA,,,1230173.122,1230173.122
DAL,2019,1501649.668,2,GA,,,1501649.668,1501649.668
DAL,2020,1179682.28,2,GA,,,1179682.28,1179682.28
DAL,2021,1381265.21,2,GA,,,1381265.21,1381265.21
DAL,2022,1313653.766,2,GA,,,1313653.766,1313653.766
DAL,2023,1256096.862,2,GA,,,1256096.862,1256096.862
DD,2010,228452.268,4,DE,,,228452.268,228452.268
DD,2011,232748.994,4,DE,14093100.0,5282400.0,232748.994,5515148.994
DD,2012,230189.368,4,DE,10817680.0,4416220.0,230189.368,4646409.368
DD,2013,244922.48,4,DE,13561008.0,4944363.0,244922.48,5189285.48
DD,2014,249253.086,4,DE,,,249253.086,249253.086
DD,2015,243167.196,4,DE,,,243167.196,243167.196
DD,2016,217448.712,4,DE,,,217448.712,217448.712
DD,2017,214328.354,4,DE,,,214328.354,214328.354
DD,2018,230081.946,4,DE,,,230081.946,230081.946
DD,2019,220453.144,4,DE,,,220453.144,220453.144
DD,2020,198216.788,4,DE,,,198216.788,198216.788
DD,2021,198297.142,4,DE,,,198297.142,198297.142
DD,2022,206987.258,4,DE,,,206987.258,206987.258
DD,2023,195527.252,4,DE,,,195527.252,195527.252
DE,2010,34563.114,1,IA,,,34563.114,34563.114
DE,2011,35541.01,1,IA,420019.0,1041067.0,35541.01,1076608.01
DE,2012,34738.768,1,IA,440147.0,1053446.0,34738.768,1088184.768
DE,2013,44526.232,1,IA,460808.29,1073059.05,44526.232,1117585.2820000001
DE,2014,46430.174,1,IA,,,46430.174,46430.174
DE,2015,42124.088,1,IA,,,42124.088,42124.088
DE,2016,40664.348,1,IA,,,40664.348,40664.348
DE,2017,43409.03,1,IA,,,43409.03,43409.03
DE,2018,48675.116,1,IA,,,48675.116,48675.116
DE,2019,47359.772,1,IA,,,47359.772,47359.772
DE,2020,44079.384,1,IA,,,44079.384,44079.384
DE,2021,44661.832,1,IA,,,44661.832,44661.832
DE,2022,52119.056,1,IA,,,52119.056,52119.056
DE,2023,45075.88,1,IA,,,45075.88,45075.88
DOW,2010,18323809.69,15,TX,,,18323809.69,18323809.69
DOW,2011,19079516.256,15,TX,28130000.0,9021000.0,19079516.256,28100516.256
DOW,2012,18549779.01,15,TX,27429000.0,8403000.0,18549779.01,26952779.01
DOW,2013,19186929.358,15,TX,27730000.0,7570000.0,19186929.358,26756929.358
DOW,2014,19204156.688,15,TX,,,19204156.688,19204156.688
DOW,2015,15801678.59,15,TX,,,15801678.59,15801678.59
DOW,2016,16245810.0,15,TX,,,16245810.0,16245810.0
DOW,2017,16763236.217999998,15,TX,,,16763236.217999998,16763236.217999998
DOW,2018,16979429.18,15,TX,,,16979429.18,16979429.18
DOW,2019,16342159.396,15,TX,,,16342159.396,16342159.396
DOW,2020,17000494.13,15,TX,,,17000494.13,17000494.13
DOW,2021,17175857.846,15,TX,,,17175857.846,17175857.846
DOW,2022,16638598.38,15,TX,,,16638598.38,16638598.38
DOW,2023,16788738.352,15,TX,,,16788738.352,16788738.352
DTE,2010,38479709.726,12,MI,,,38479709.726,38479709.726
DTE,2011,35708608.41,13,MI,391152.0,3093352.0,35708608.41,38801960.41
DTE,2012,34845189.988,13,MI,414565.0,3041004.0,34845189.988,37886193.988
DTE,2013,35430396.04,13,MI,356128.0,3291232.0,35430396.04,38721628.04
DTE,2014,33186009.588,15,MI,,,33186009.588,33186009.588
DTE,2015,33097577.308,15,MI,,,33097577.308,33097577.308
DTE,2016,29546243.016,15,MI,,,29546243.016,29546243.016
DTE,2017,30616333.732,15,MI,,,30616333.732,30616333.732
DTE,2018,33041199.896,15,MI,,,33041199.896,33041199.896
DTE,2019,29634785.486,17,MI,,,29634785.486,29634785.486
DTE,2020,23693823.028,18,MI,,,23693823.028,23693823.028
DTE,2021,29862816.568,18,MI,,,29862816.568,29862816.568
DTE,2022,28836096.46,20,MI,,,28836096.46,28836096.46
DTE,2023,24054836.762,20,MI,,,24054836.762,24054836.762
DUK,2010,101078397.428,36,NC,,,101078397.428,101078397.428
DUK,2011,89312441.406,36,NC,90612245.0,,89312441.406,89312441.406
DUK,2012,83499850.264,36,NC,85271807.0,,83499850.264,83499850.264
DUK,2013,83861768.46,36,NC,123430000.0,,83861768.46,83861768.46
DUK,2014,87285648.446,36,NC,,,87285648.446,87285648.446
DUK,2015,84619516.836,35,NC,,,84619516.836,84619516.836
DUK,2016,83921682.596,35,NC,,,83921682.596,83921682.596
DUK,2017,80554597.722,35,NC,,,80554597.722,80554597.722
DUK,2018,81752492.678,35,NC,,,81752492.678,81752492.678
DUK,2019,74729515.202,35,NC,,,74729515.202,74729515.202
DUK,2020,64465797.328,35,NC,,,64465797.328,64465797.328
DUK,2021,69219009.728,36,NC,,,69219009.728,69219009.728
DUK,2022,69525372.66,38,NC,,,69525372.66,69525372.66
DUK,2023,64619721.302,38,NC,,,64619721.302,64619721.302
DVN,2010,119127.46,1,TX,,,119127.46,119127.46
DVN,2011,156756.268,1,TX,3680000.0,490000.0,156756.268,646756.268
DVN,2012,158930.442,1,TX,7232882.0,1009209.0,158930.442,1168139.442
DVN,2013,142914.232,1,TX,7596657.0,1087905.0,142914.232,1230819.232
DVN,2014,142354.962,1,TX,,,142354.962,142354.962
DVN,2015,140312.904,1,TX,,,140312.904,140312.904
DVN,2016,143788.22,1,TX,,,143788.22,143788.22
DVN,2017,271668.156,1,TX,,,271668.156,271668.156
DVN,2018,69552.302,1,TX,,,69552.302,69552.302
DVN,2019,328990.342,1,TX,,,328990.342,328990.342
DVN,2020,376746.986,1,TX,,,376746.986,376746.986
DVN,2021,420986.8,1,TX,,,420986.8,420986.8
DVN,2022,178660.946,1,TX,,,178660.946,178660.946
DVN,2023,99720.708,1,TX,,,99720.708,99720.708
ED,2010,3160131.774,5,NY,,,3160131.774,3160131.774
ED,2011,2806590.744,5,NY,,,2806590.744,2806590.744
ED,2012,2725048.4820000003,5,NY,3370542.0,1142721.0,2725048.4820000003,3867769.4820000003
ED,2013,2872899.62,5,NY,,,2872899.62,2872899.62
ED,2014,2697381.0960000004,5,NY,,,2697381.0960000004,2697381.0960000004
ED,2015,2709072.734,5,NY,,,2709072.734,2709072.734
ED,2016,2632140.32,5,NY,,,2632140.32,2632140.32
ED,2017,2582570.824,5,NY,,,2582570.824,2582570.824
ED,2018,2658288.444,5,NY,,,2658288.444,2658288.444
ED,2019,2512922.072,5,NY,,,2512922.072,2512922.072
ED,2020,2383907.4200000004,5,NY,,,2383907.4200000004,2383907.4200000004
ED,2021,2481022.192,5,NY,,,2481022.192,2481022.192
ED,2022,2515563.54,5,NY,,,2515563.54,2515563.54
ED,2023,2463230.61,5,NY,,,2463230.61,2463230.61
EIX,2010,2354691.724,1,CA,,,2354691.724,2354691.724
EIX,2011,1801629.872,1,CA,,,1801629.872,1801629.872
EIX,2012,2544125.872,1,CA,,,2544125.872,2544125.872
EIX,2013,2130559.204,1,CA,,,2130559.204,2130559.204
EIX,2014,2404249.192,1,CA,,,2404249.192,2404249.192
EIX,2015,2275937.668,1,CA,,,2275937.668,2275937.668
EIX,2016,1942391.9,1,CA,,,1942391.9,1942391.9
EIX,2017,1629079.864,1,CA,,,1629079.864,1629079.864
EIX,2018,820933.76,1,CA,,,820933.76,820933.76
EIX,2019,1216417.044,1,CA,,,1216417.044,1216417.044
EIX,2020,1154108.472,1,CA,,,1154108.472,1154108.472
EIX,2021,824124.196,1,CA,,,824124.196,824124.196
EIX,2022,1495603.756,1,CA,,,1495603.756,1495603.756
EIX,2023,1056295.236,1,CA,,,1056295.236,1056295.236
EMN,2010,6931860.500000001,7,TX,,,6931860.500000001,6931860.500000001
EMN,2011,7410420.392,7,TX,2300000.0,970000.0,7410420.392,8380420.392
EMN,2012,7316770.162,7,TX,6440000.0,301000.0,7316770.162,7617770.162
