state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
TN,36930451.0,21598775.0,102911183.0,2018,SRVC,0.2838920086001216,10484259.91289837,6131719.618052091,29215662.449284688
TX,143524631.0,123438829.0,424418628.0,2018,ERCT,0.351216082590197,50408158.655023545,43353701.9609012,149062647.9044661
UT,12083833.0,9392709.0,31242408.0,2018,NWPP,0.27481924322558987,3320869.8403244093,2581297.179218187,8586014.923105115
VA,52568015.0,18213608.0,118942824.0,2018,SRVC,0.2838920086001216,14923639.36647132,5170697.758975243,33766917.21393075
VT,2003515.0,1411388.0,5530948.0,2018,NEWE,0.24515789569177457,491177.52138690575,346012.9120846223,1355955.572860629
WA,29431048.0,27257355.0,92034518.0,2018,NWPP,0.27481924322558987,8088218.33869601,7490845.673431248,25292856.587391928
WI,24093421.0,24424585.0,70959549.0,2018,MROE,0.6752583211619236,16269283.015507435,16492904.262176702,47916025.92814726
WV,7774429.0,14192929.0,33646813.0,2018,RFCW,0.4562709219729477,3547245.8876432218,6475820.800326587,15352062.388961364
WY,3757211.0,10359111.0,16864678.0,2018,RMPA,0.5133460641743248,1928749.4791224792,5317808.860194954,8657416.074867325
AK,2638846.0,1251751.0,5818805.0,2019,AKGD,0.4798291769103065,1266195.3041730546,600626.652026653,2792032.413751576
AL,23076470.0,32602996.0,88095112.0,2019,SRSO,0.4071717574910869,9396086.846590342,13275019.180794876,35869841.579414144
AR,11948689.0,17411611.0,48093032.0,2019,SRMV,0.36453357041122736,4355698.262903358,6347116.724441401,17531524.66686141
AZ,29415272.0,13782704.0,77929170.0,2019,AZNM,0.35352214894176776,10398950.16914661,4872491.136308298,27549687.64364834
CA,148735973.0,61528156.0,317296928.0,2019,CAMX,0.22646896063720734,33684081.214673735,13934217.539243953,71857905.4975388
CO,21111259.0,15891020.0,56520823.0,2019,RMPA,0.5133460641743248,10837381.717414793,8157592.572715479,29014742.030943654
CT,20985630.0,5299298.0,42135824.0,2019,NEWE,0.24515789569177457,5144792.890566175,1299164.7463236295,10329929.94507897
DC,14738903.0,359264.0,18935762.0,2019,RFCE,0.2995123876223567,4414484.028464316,107604.01842675837,5671495.288068692
