state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
ID,6836725.0,9400753.0,26201131.0,2022,NWPP,0.27481924322558987,1878863.5906414709,2583507.8252106938,7200574.993074543
IL,78097413.0,78426718.0,215265497.0,2022,RFCW,0.4562709219729477,35633578.633212075,35783830.929172374,98219386.7851548
IN,23493759.0,42479590.0,100044365.0,2022,RFCW,0.4562709219729477,10719519.079540238,19382201.694332812,45647334.6567481
KS,15781384.0,11736159.0,41961065.0,2022,SPNO,0.43516841904727344,6867559.925657936,5107205.75771743,18260130.31758988
KY,19674006.0,28824550.0,75338742.0,2022,SRVC,0.2838920086001216,5585293.080550844,8183059.396494634,21388066.791786343
LA,23540241.0,40143868.0,95138998.0,2022,SRMV,0.36453357041122736,8581208.100070762,14633787.532157017,34681358.62628662
MA,43562289.0,10113354.0,83948328.0,2022,NEWE,0.24515789569177457,10679639.102756938,2479368.5850259913,20580595.439322878
MD,47696232.0,6734577.0,87263847.0,2022,RFCE,0.2995123876223567,14285612.326909855,2017089.2368966083,26136603.16808203
ME,6437546.0,4998715.0,16941089.0,2022,NEWE,0.24515789569177457,1578215.2307790006,1225474.450562909,4153241.7299670693
MI,40967423.0,33505395.0,109512414.0,2022,RFCM,0.5552825430232874,22748494.824550714,18604960.94059974,60810331.73853906
MN,22548588.0,20648588.0,66635430.0,2022,MROW,0.42792771543395236,9649165.749101434,8836103.089776924,28515147.326859053
MO,29790520.0,13245662.0,80306260.0,2022,SRMV,0.36453357041122736,10859644.620007077,4828488.461320318,29274327.684172332
MS,14089632.0,15972024.0,48979533.0,2022,SRMV,0.36453357041122736,5136143.858740282,5822338.935413813,17854684.041564535
MT,5159026.0,7524174.0,18577704.0,2022,NWPP,0.27481924322558987,1417799.621101142,2067787.8045776593,5105510.554149014
NC,49228797.0,27519330.0,139206761.0,2022,SRVC,0.2838920086001216,13975662.06129764,7812517.869029584,39519686.991007075
ND,8392425.0,11728548.0,25392877.0,2022,MROW,0.42792771543395236,3591351.257200788,5018970.750997451,10866315.842905354
NE,9618755.0,13241701.0,33844105.0,2022,MROW,0.42792771543395236,4116131.8524689064,5666490.857389483,14482830.533556804
NH,6735796.0,3596932.0,15782324.0,2022,NEWE,0.24515789569177457,1651333.5731690724,881816.2800664061,3869161.34096579
NJ,59103117.0,11374793.0,103256218.0,2022,RFCE,0.2995123876223567,17702115.6885935,3406891.4101400697,30926516.390034568
NM,9084022.0,10789520.0,27156178.0,2022,AZNM,0.35352214894176776,3211402.978474295,3814334.296450182,9600310.403605158
NV,16020228.0,15302828.0,45636761.0,2022,NWPP,0.27481924322558987,4402666.935261405,4205511.610171367,12541860.121287115
NY,115565735.0,29267115.0,207776907.0,2022,NYCW,0.40214640164744947,46474344.48399271,11769664.983852092,83556735.49548675
OH,80540955.0,83741162.0,242017967.0,2022,RFCW,0.4562709219729477,36748495.794431694,38208657.19282597,110425760.93710844
OK,22211526.0,21796272.0,69486942.0,2022,SPSO,0.442367845705836,9825664.906459164,9641969.889058433,30738788.837226372
OR,17567012.0,21044278.0,59359888.0,2022,NWPP,0.27481924322558987,4827752.943574856,5783372.5541889295,16313239.498115774
PA,63282063.0,97847556.0,232021290.0,2022,RFCE,0.2995123876223567,18953761.7827984,29306555.120572254,69493250.54711923
RI,6239842.0,1164172.0,10822650.0,2022,NEWE,0.24515789569177457,1529746.534169154,285405.9577432846,2653258.099808584
SC,24130625.0,26340732.0,82758432.0,2022,SRVC,0.2838920086001216,6850491.6000263095,7477923.315477498,23494457.489076577
SD,4936093.0,3208065.0,13467064.0,2022,MROW,0.42792771543395236,2112291.000659524,1372819.9264136225,5762929.931122825
TN,35719452.0,22788612.0,102112051.0,2022,SRVC,0.2838920086001216,10140466.97437563,6469504.833888834,28988795.260668054
TX,160719198.0,143905882.0,475401192.0,2022,ERCT,0.351216082590197,56447167.11859822,50542060.13772714,166968544.3129501
UT,12870552.0,9104680.0,33365501.0,2022,NWPP,0.27481924322558987,3537075.360535602,2502141.2674111635,9169481.734662661
VA,74876385.0,19398167.0,141121901.0,2022,SRVC,0.2838920086001216,21256807.334366016,5506984.592790595,40063379.932357505
VT,1916375.0,1367429.0,5470471.0,2022,NEWE,0.24515789569177457,469814.4623563245,335236.0161479076,1341129.1588028776
WA,30105941.0,23202308.0,93198031.0,2022,NWPP,0.27481924322558987,8273691.922214258,6376440.72564705,25612612.349535067
WI,23426668.0,23560174.0,69875871.0,2022,MROE,0.6752583211619236,15819052.50409776,15909203.541522803,47184263.34118715
WV,7275035.0,14574283.0,32986288.0,2022,RFCW,0.4562709219729477,3319386.926835464,6649821.541504659,15050684.038225181
WY,3610790.0,9879959.0,16499429.0,2022,RMPA,0.5133460641743248,1853584.8350600104,5071838.066853698,8469916.938273717
AK,2602872.0,1371059.0,6024598.0,2023,AKGD,0.4798291769103065,1248933.9293628833,657874.111465468,2890777.8995554787
AL,22213494.0,31257213.0,84880359.0,2023,SRSO,0.4071717574910869,9044707.391997714,12727054.35148325,34560884.9505044
AR,11694057.0,18581004.0,48649300.0,2023,SRMV,0.36453357041122736,4262876.350802406,6773399.729945297,17734303.027006924
AZ,32619680.0,14296687.0,85918798.0,2023,AZNM,0.35352214894176776,11531779.371392803,5054195.510987835,30374198.10345366
CA,160291294.0,57118506.0,326749537.0,2023,CAMX,0.22646896063720734,36301002.75137303,12935568.68697009,73998628.03307873
CO,20697728.0,14778848.0,55565819.0,2023,RMPA,0.5133460641743248,10625097.20615072,7586663.453830592,28524494.486272916
CT,19413120.0,4477260.0,39425365.0,2023,NEWE,0.24515789569177457,4759279.648011902,1097635.6400649545,9665439.52028014
DC,12578862.0,352978.0,16301992.0,2023,RFCE,0.2995123876223567,3767524.991192133,105721.28355816423,4882648.546920558
DE,6596275.0,3018708.0,14801479.0,2023,RFCE,0.2995123876223567,1975666.074663661,904140.4406147092,4433226.315632173
FL,97255443.0,17808644.0,250940214.0,2023,FRCC,0.37053687256760803,36036727.68939727,6598759.252429897,92982602.09700629
GA,51404671.0,32067537.0,142028831.0,2023,SRSO,0.4071717574910869,20930530.23432111,13056995.398700457,57830128.73267457
HI,2798995.0,3435096.0,8927252.0,2023,HIMS,0.5275580372127623,1476632.3083683355,1812212.503397411,4709643.542823707
IA,12600924.0,27217490.0,54400259.0,2023,MROW,0.42792771543395236,5392284.619676861,11647118.315546444,23279378.552885305
ID,6842096.0,9038616.0,25673977.0,2023,NWPP,0.27481924322558987,1880339.6447968355,2483985.6089267083,7055702.9297312
IL,76100557.0,77002594.0,207217893.0,2023,RFCW,0.4562709219729477,34722471.30504486,35134044.55868857,94547499.08840163
IN,23016436.0,41228694.0,95995350.0,2023,RFCW,0.4562709219729477,10501730.474251345,18811454.223120537,43799886.849615805
KS,15727254.0,11509320.0,41052008.0,2023,SPNO,0.43516841904727344,6844004.259134907,5008492.588709165,17864537.42007602
KY,19303242.0,27367071.0,71223021.0,2023,SRVC,0.2838920086001216,5480036.143874228,7769292.755692138,20219646.49025864
LA,23743181.0,39874251.0,95374457.0,2023,SRMV,0.36453357041122736,8655186.542850016,14535503.084503453,34767191.33624208
MA,43724906.0,9973168.0,83468074.0,2023,NEWE,0.24515789569177457,10719505.944280649,2445000.880260544,20462857.37928532
MD,47097968.0,6478650.0,83588048.0,2023,RFCE,0.2995123876223567,14106424.847841352,1940435.9300695814,25035655.833172157
ME,6294152.0,4509840.0,16128628.0,2023,NEWE,0.24515789569177457,1543061.0594841742,1105622.8843065926,3954060.500875435
MI,40235624.0,33370540.0,106145475.0,2023,RFCM,0.5552825430232874,22342139.614848815,18530078.31326033,58940729.28841478
MN,22613856.0,20560640.0,66215800.0,2023,MROW,0.42792771543395236,9677095.735232376,8798467.703059938,28335576.0196315
MO,29174382.0,12813199.0,76975799.0,2023,SRMV,0.36453357041122736,10635041.635001045,4670841.179859568,28060262.844726983
MS,14230944.0,15646628.0,48421762.0,2023,SRMV,0.36453357041122736,5187656.826642234,5703721.169736282,17651357.787462693
MT,5197159.0,7613000.0,18565686.0,2023,NWPP,0.27481924322558987,1428279.3033030634,2092198.8986764157,5102207.776483929
NC,48196906.0,26143974.0,133091108.0,2023,SRVC,0.2838920086001216,13682716.452651251,7422065.291649356,37783501.976935714
ND,10854668.0,12280355.0,28202179.0,2023,MROW,0.42792771543395236,4645013.279034029,5255104.259867914,12068494.029729387
NE,11260554.0,11640095.0,33571199.0,2023,MROW,0.42792771543395236,4818703.147740654,4981119.2607841715,14366046.492448587
NH,7003042.0,3662697.0,16494764.0,2023,NEWE,0.24515789569177457,1716851.0401611163,897939.0890765756,4043821.6321724383
NJ,56148646.0,10617487.0,97494689.0,2023,RFCE,0.2995123876223567,16817215.025222488,3180068.8819193332,29200867.082889117
NM,9349407.0,11661806.0,28347490.0,2023,AZNM,0.35352214894176776,3305222.453971206,4122706.717662001,10021465.581905272
NV,16230880.0,14899997.0,44646878.0,2023,NWPP,0.27481924322558987,4460558.158485362,4094805.899603559,12269821.224345237
NY,114131054.0,27604119.0,201563180.0,2023,NYCW,0.40214640164744947,45897392.68233074,11100897.126497991,81057907.54161716
OH,81619254.0,88049091.0,241850932.0,2023,RFCW,0.4562709219729477,37240492.2733242,40174239.929449975,110349547.72365668
OK,23117487.0,22043847.0,68978840.0,2023,SPSO,0.442367845705836,10226432.92232267,9751489.108459055,30514020.850087546
OR,24040014.0,16507643.0,61014831.0,2023,NWPP,0.27481924322558987,6606658.454612586,4536617.956698206,16768049.680957261
PA,61636266.0,97317587.0,224675617.0,2023,RFCE,0.2995123876223567,18460825.193786684,29147822.84001642,67293130.48819616
RI,6341652.0,1149685.0,11039731.0,2023,NEWE,0.24515789569177457,1554706.0595295336,281854.35530839785,2706477.2209632504
SC,25193823.0,25110033.0,81202185.0,2023,SRVC,0.2838920086001216,7152325.015785941,7128537.704385337,23052651.402368665
SD,5032841.0,3227339.0,13505999.0,2023,MROW,0.42792771543395236,2153692.151272328,1381067.8052008965,5779591.296723245
TN,35094425.0,22601013.0,99046005.0,2023,SRVC,0.2838920086001216,9963026.803916322,6416246.97696746,28118369.303267688
TX,165791834.0,158248978.0,492820385.0,2023,ERCT,0.351216082590197,58228758.46292423,55579586.12706227,173086445.04029268
UT,13337953.0,8622963.0,33343537.0,2023,NWPP,0.27481924322558987,3665526.149638486,2369756.166022262,9163445.604804454
VA,79621840.0,17708142.0,140665430.0,2023,SRVC,0.2838920086001216,22604004.086037505,5027200.000956174,39933791.4632998
VT,1903595.0,1284114.0,5364023.0,2023,NEWE,0.24515789569177457,466681.3444493836,314810.6860683474,1315032.5911222796
WA,30698404.0,22098181.0,91823104.0,2023,NWPP,0.27481924322558987,8436512.15551342,6073005.379082109,25234755.951904636
WI,23212820.0,23131084.0,68563904.0,2023,MROE,0.6752583211619236,15674649.862633925,15619456.948495433,46298346.7073473
WV,7173973.0,14662890.0,32070687.0,2023,RFCW,0.4562709219729477,3273275.2749190335,6690250.339087916,14632921.925795829
WY,5045931.0,8796321.0,16790115.0,2023,RMPA,0.5133460641743248,2590308.818945215,4515556.764563961,8619139.452284293
