soc_code,occupation,ai_exposure,ability_exposure,activity_exposure,gics_sector
39-3091.00,Amusement and Recreation Attendants,56.50436664338376,0.7380253368188217,0.6963514680483593,Consumer Discretionary
39-3092.00,Costume Attendants,41.61782177985316,0.7267796610169494,0.6853542234332425,Consumer Discretionary
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",50.35885462501999,0.7384855491329478,0.6867088607594937,Consumer Discretionary
39-4011.00,Embalmers,41.78515898942653,0.7116194690265486,0.7007644444444444,Consumer Discretionary
39-4021.00,Funeral Attendants,32.56291988903097,0.7187949825210777,0.6798094050587816,Consumer Discretionary
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",37.27994589210835,0.7232133676092545,0.6824390243902438,Consumer Discretionary
39-5011.00,Barbers,41.865586895791026,0.7244511956095646,0.6880528902410484,Consumer Discretionary
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",42.776457722193655,0.7303407485875707,0.6835243264977886,Consumer Discretionary
39-5091.00,"Makeup Artists, Theatrical and Performance",42.47675236221161,0.7326337229897271,0.68078354351871,Consumer Discretionary
39-5092.00,Manicurists and Pedicurists,35.87370762468724,0.7273283777874945,0.6762228654124458,Consumer Discretionary
39-5093.00,Shampooers,39.65199702242075,0.7292422625400213,0.6799543598366563,Consumer Discretionary
39-5094.00,Skincare Specialists,46.43760940589381,0.731266465939029,0.6880689655172413,Consumer Discretionary
39-6011.00,Baggage Porters and Bellhops,32.83294979364463,0.7106300663227709,0.6883777898747959,Consumer Discretionary
39-6012.00,Concierges,65.21099714697827,0.7540211847783443,0.6933647428347075,Consumer Discretionary
39-7011.00,Tour Guides and Escorts,64.40267279672001,0.7616796792572271,0.6844984802431611,Consumer Discretionary
39-7012.00,Travel Guides,53.47665057595364,0.7407094594594595,0.6891434449223864,Consumer Discretionary
39-9011.00,Childcare Workers,52.21599652685109,0.742247169449242,0.6857221126451896,Consumer Discretionary
39-9011.01,Nannies,36.900034742075526,0.7207605877268798,0.6843241551939925,Consumer Discretionary
39-9031.00,Exercise Trainers and Group Fitness Instructors,37.42831048785021,0.7224687674808876,0.6834053053670573,Consumer Discretionary
39-9032.00,Recreation Workers,56.18937777985843,0.7421813771225976,0.6917247831263821,Consumer Discretionary
39-9041.00,Residential Advisors,57.167919309508605,0.741710775047259,0.6936574854787333,Consumer Discretionary
41-1011.00,First-Line Supervisors of Retail Sales Workers,58.144098729576946,0.750091928663357,0.6867349027635619,Consumer Discretionary
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,73.16562452587269,0.7748574483250178,0.684413986997013,Consumer Discretionary
41-2011.00,Cashiers,58.150037541256026,0.7450280373831776,0.6918076675947741,Consumer Discretionary
