ticker,pre_avg,post_2023,change,pct_change,GICS Sector
DOW,16938316.78533333,16788738.352,-149578.43333332986,-0.8830773165303406,Materials
DTE,27464245.351999998,24054836.762,-3409408.59,-12.413989702985669,Utilities
DUK,67736726.57200001,64619721.302,-3117005.2700000107,-4.601647330398855,Utilities
DVN,325464.91066666663,99720.708,-225744.20266666665,-69.3605348128814,Energy
ED,2460164.384,2463230.61,3066.2259999997914,0.12463500487777938,Utilities
EIX,1157945.4746666667,1056295.236,-101650.23866666667,-8.7784995831456,Utilities
EMN,6176563.590884625,6094463.184,-82100.40688462462,-1.3292246679980504,Materials
EOG,356535.808,318787.588,-37748.22000000003,-10.587497567705746,Energy
ETR,30147342.42,32420498.6,2273156.1799999997,7.54015444655569,Utilities
EVRG,20556840.87,18985301.404,-1571539.4660000019,-7.644849108568313,Utilities
F,513299.16400000005,497625.124,-15674.040000000037,-3.053587673483925,Consumer Discretionary
FCX,217978.09066666666,260273.666,42295.57533333334,19.403590151641424,Materials
FE,15612036.473333335,15258135.972,-353900.5013333354,-2.2668439312054334,Utilities
GE,4567837.836743333,5750599.7248,1182761.8880566666,25.8932547592347,Industrials
GIS,78529.82333333333,70688.598,-7841.225333333336,-9.985028617790094,Consumer Staples
GLW,668899.7726666667,632382.226,-36517.54666666663,-5.459345055700063,Information Technology
GM,536692.6953333333,572170.952,35478.25666666671,6.610534664465965,Consumer Discretionary
GOOGL,67652.36533333334,56418.04,-11234.325333333334,-16.605960897272595,Communication Services
GS,48367.91733333334,52140.304,3772.386666666658,7.799357248873877,Financials
HAL,61090.01,53414.518,-7675.492000000006,-12.564234315888973,Energy
HII,71094.79,49706.726,-21388.06399999999,-30.08386971816077,Industrials
HON,673439.3069323334,381602.9292,-291836.3777323334,-43.335215917483836,Industrials
HRL,61545.03466666667,58585.68,-2959.354666666666,-4.808437728071471,Consumer Staples
HWM,116368.466,124137.594,7769.127999999997,6.676317276537784,Industrials
IFF,396940.3566666667,307088.216,-89852.14066666667,-22.636181773303694,Materials
INTC,1069354.1698183334,790767.5444783,-278586.6253400333,-26.051857579361275,Information Technology
IP,5539355.9953333335,5404387.698,-134968.29733333364,-2.4365340925378067,Materials
ITW,34351.87066666666,35815.816,1463.9453333333367,4.26161750414913,Industrials
KMB,1063173.7233333334,1030421.266,-32752.45733333344,-3.080630814562059,Consumer Staples
KMI,9190764.705333333,9841200.2,650435.4946666658,7.0770552344705635,Energy
L,2163957.9073333335,1937140.466,-226817.4413333335,-10.481601354845338,Financials
LIN,7702123.477333333,8787322.32,1085198.842666667,14.089605884147547,Materials
LLY,28676.358666666667,47574.076,18897.717333333334,65.89998944077931,Health Care
LMT,96887.53733333333,95794.134,-1093.403333333321,-1.1285283571317948,Industrials
LNT,16859464.544,15518985.896,-1340478.648,-7.950896924997858,Utilities
LW,440038.78733333334,413668.974,-26369.813333333354,-5.992611127109116,Consumer Staples
LYB,7747758.770666666,8041139.808,293381.03733333386,3.7866568386729664,Materials
MCHP,384896.1759843333,472938.201976,88042.02599166665,22.874227255313208,Information Technology
MGM,109167.93866666667,110103.336,935.397333333327,0.8568425352332324,Consumer Discretionary
MHK,316201.45866666664,292597.1,-23604.358666666667,-7.464974629212548,Consumer Discretionary
MLM,4036228.551333333,3999044.162,-37184.38933333289,-0.9212657028812046,Materials
MMM,1071512.0466306666,1007143.688924,-64368.357706666575,-6.007245360336424,Industrials
MO,74779.328,66467.196,-8312.131999999998,-11.115547869058142,Consumer Staples
MPC,27826394.095333334,28465167.048,638772.9526666664,2.295564960656518,Energy
MRK,371480.16400000005,365529.704,-5950.460000000021,-1.6018244247356421,Health Care
MU,324136.9214276,303884.3484487,-20252.572978900047,-6.2481536782978635,Information Technology
NEE,38470382.132,40497897.718,2027515.586000003,5.270328688296282,Utilities
NEM,1653039.6960000002,1393004.114,-260035.58200000017,-15.730752421084032,Materials
NI,6329433.274666667,4456754.266,-1872679.0086666672,-29.586835462220584,Utilities
NOC,92779.55866666666,110192.278,17412.71933333334,18.7678402264154,Industrials
NRG,28720546.958,22723329.304,-5997217.653999999,-20.881279394748773,Utilities
NUE,5476000.304666667,5386353.79,-89646.51466666721,-1.6370801621444417,Materials
NXPI,72241.49989709999,77528.052339,5286.552441900014,7.317888539731488,Information Technology
ODFL,2805946.0866666664,2222066.18,-583879.9066666663,-20.80866448008944,Industrials
OKE,1870021.8720000002,2049708.196,179686.3239999998,9.608781944770739,Energy
OXY,7419575.440666667,7755373.004000001,335797.56333333347,4.525832590000072,Energy
PCG,2695484.5573333334,2923279.1920000003,227794.63466666685,8.450971609053703,Utilities
PEG,188.7,146.3,-42.39999999999998,-22.469528351881284,Utilities
PEP,319104.532,317942.602,-1161.929999999993,-0.364122061419044,Consumer Staples
PFE,237778.14866666668,225796.41,-11981.738666666672,-5.039041112000361,Health Care
PG,1793261.03,1676103.744,-117157.28600000008,-6.533197568008271,Consumer Staples
PNW,6981990.660666667,5905134.813999999,-1076855.8466666676,-15.423335535711608,Utilities
PPG,101047.23133333334,198602.998,97555.76666666665,96.54472010702688,Materials
PPL,27992518.74066667,26771409.22,-1221109.52066667,-4.362270976683066,Utilities
PSX,29279576.634,29290253.92,10677.286000002176,0.0364666679900129,Energy
QCOM,61965.116,48566.816,-13398.300000000003,-21.62232698797821,Information Technology
RSG,10786886.204666667,10721712.294,-65173.910666666925,-0.6041957746663826,Industrials
RTX,159469.43999999997,172793.28999999998,13323.850000000006,8.35511180073123,Industrials
SO,63081491.680999994,62758846.596,-322645.08499999344,-0.5114734550533361,Utilities
