ticker,year,total_emissions,num_facilities,primary_state
COP,2011,620517.6819999999,2,AK
COP,2012,608691.6440000001,2,AK
COP,2013,588098.3319999999,2,AK
COP,2014,597383.5739999999,2,AK
COP,2015,622116.9580000001,2,AK
COP,2016,615259.952,2,AK
COP,2017,653221.596,2,AK
COP,2018,652974.0939999999,2,AK
COP,2019,639745.428,2,AK
COP,2020,584483.5939999999,2,AK
COP,2021,598302.776,2,AK
COP,2022,576118.594,2,AK
COP,2023,570045.678,2,AK
CTVA,2010,58611.88,1,MI
CTVA,2011,57796.632,1,MI
CTVA,2012,56993.636,1,MI
CTVA,2013,58403.28,1,MI
CTVA,2014,58184.08,1,MI
CTVA,2015,55891.14,1,MI
CTVA,2016,50356.16,1,MI
CTVA,2017,58722.528,1,MI
CTVA,2018,62288.316,1,MI
CTVA,2019,65076.704,1,MI
CTVA,2020,56791.336,1,MI
CTVA,2021,59699.876,1,MI
CTVA,2022,61295.92,1,MI
CTVA,2023,56532.988,1,MI
CVX,2010,17000457.848,17,CA
CVX,2011,17092562.59,17,CA
CVX,2012,17181830.422,18,CA
CVX,2013,16979698.504,18,CA
CVX,2014,16945451.39,18,CA
CVX,2015,18612446.005999997,18,CA
CVX,2016,18150600.502,18,CA
CVX,2017,18345629.78,18,CA
CVX,2018,18759928.652,18,CA
CVX,2019,17288467.494,19,CA
CVX,2020,15988793.43,19,CA
CVX,2021,16806846.476,19,CA
CVX,2022,15828266.804,19,CA
CVX,2023,16013153.746,19,CA
CZR,2010,52208.504,1,NV
CZR,2011,53805.148,1,NV
CZR,2012,55826.64,1,NV
CZR,2013,56952.336,1,NV
CZR,2014,59308.376,1,NV
CZR,2015,58366.48,1,NV
CZR,2016,60775.372,1,NV
CZR,2017,57911.832,1,NV
CZR,2018,56588.736,1,NV
CZR,2019,56405.988,1,NV
CZR,2020,41874.292,1,NV
CZR,2021,45674.328,1,NV
CZR,2022,58716.728,1,NV
CZR,2023,56095.788,1,NV
D,2010,35933070.254,19,VA
D,2011,31845258.327999998,20,VA
D,2012,31937104.054,22,VA
D,2013,35717563.644,22,VA
D,2014,38195677.864,23,VA
D,2015,39271452.091,24,VA
D,2016,40588975.275,24,VA
D,2017,36175478.135,24,VA
D,2018,35552237.502,26,VA
D,2019,32430019.552,26,VA
D,2020,33525337.94,26,VA
D,2021,32108770.12,26,VA
D,2022,31246444.182,26,VA
D,2023,28177882.236,26,VA
DAL,2010,1546459.4279999998,2,GA
DAL,2011,1156497.19,2,GA
DAL,2012,386460.76,2,GA
DAL,2013,1357110.636,2,GA
DAL,2014,1403041.308,2,GA
DAL,2015,1438536.184,2,GA
DAL,2016,1398973.314,2,GA
DAL,2017,1355968.92,2,GA
DAL,2018,1230173.122,2,GA
DAL,2019,1501649.668,2,GA
DAL,2020,1179682.28,2,GA
DAL,2021,1381265.21,2,GA
DAL,2022,1313653.766,2,GA
DAL,2023,1256096.862,2,GA
DD,2010,228452.268,4,DE
DD,2011,232748.994,4,DE
DD,2012,230189.36800000002,4,DE
DD,2013,244922.47999999998,4,DE
DD,2014,249253.086,4,DE
DD,2015,243167.196,4,DE
DD,2016,217448.712,4,DE
DD,2017,214328.354,4,DE
DD,2018,230081.946,4,DE
DD,2019,220453.144,4,DE
DD,2020,198216.788,4,DE
DD,2021,198297.142,4,DE
DD,2022,206987.258,4,DE
DD,2023,195527.252,4,DE
DE,2010,34563.114,1,IA
DE,2011,35541.01,1,IA
DE,2012,34738.768,1,IA
DE,2013,44526.232,1,IA
DE,2014,46430.174,1,IA
DE,2015,42124.088,1,IA
DE,2016,40664.348,1,IA
DE,2017,43409.03,1,IA
DE,2018,48675.116,1,IA
DE,2019,47359.772,1,IA
DE,2020,44079.384,1,IA
DE,2021,44661.832,1,IA
DE,2022,52119.056,1,IA
DE,2023,45075.88,1,IA
DOW,2010,18323809.69,15,TX
DOW,2011,19079516.256,15,TX
DOW,2012,18549779.009999998,15,TX
DOW,2013,19186929.358,15,TX
DOW,2014,19204156.688,15,TX
DOW,2015,15801678.59,15,TX
DOW,2016,16245810.0,15,TX
DOW,2017,16763236.217999998,15,TX
DOW,2018,16979429.18,15,TX
DOW,2019,16342159.396,15,TX
DOW,2020,17000494.13,15,TX
DOW,2021,17175857.846,15,TX
DOW,2022,16638598.38,15,TX
DOW,2023,16788738.352,15,TX
DTE,2010,38479709.726,12,MI
DTE,2011,35708608.41,13,MI
DTE,2012,34845189.988,13,MI
DTE,2013,35430396.04,13,MI
DTE,2014,33186009.588,15,MI
DTE,2015,33097577.308,15,MI
DTE,2016,29546243.016,15,MI
DTE,2017,30616333.732,15,MI
DTE,2018,33041199.896,15,MI
DTE,2019,29634785.485999998,17,MI
DTE,2020,23693823.028,18,MI
DTE,2021,29862816.568,18,MI
DTE,2022,28836096.46,20,MI
DTE,2023,24054836.762,20,MI
DUK,2010,101078397.428,36,NC
DUK,2011,89312441.406,36,NC
DUK,2012,83499850.264,36,NC
DUK,2013,83861768.46,36,NC
DUK,2014,87285648.446,36,NC
DUK,2015,84619516.836,35,NC
DUK,2016,83921682.596,35,NC
DUK,2017,80554597.722,35,NC
DUK,2018,81752492.678,35,NC
DUK,2019,74729515.202,35,NC
DUK,2020,64465797.328,35,NC
DUK,2021,69219009.728,36,NC
DUK,2022,69525372.66,38,NC
DUK,2023,64619721.302,38,NC
DVN,2010,119127.46,1,TX
DVN,2011,156756.268,1,TX
DVN,2012,158930.442,1,TX
DVN,2013,142914.232,1,TX
DVN,2014,142354.962,1,TX
DVN,2015,140312.904,1,TX
DVN,2016,143788.22,1,TX
DVN,2017,271668.156,1,TX
