facility_id,facility_name,total_emissions,naics_code,state,latitude,longitude,year,parent_company,ownership_pct,clean_parent,ticker
1002775,U.S. AIR FORCE PLANT 6 LOCKHEED MARTIN AERONAUTICS CO,43417.684,336411.0,GA,33.901361,-84.512194,2023,LOCKHEED MARTIN CORP,100.0,LOCKHEED MARTIN,LMT
1002967,UCC SEADRIFT OPERATIONS,583731.362,325199.0,TX,28.510636,-96.771527,2023,DOW INC,100.0,DOW,DOW
1000272,UCC South Charleston Plant,82514.84,325199.0,WV,38.3688,-81.6786,2023,DOW INC,100.0,DOW,DOW
1002461,ULTRAMAR INC WILMINGTON REFINERY,1106672.62,324110.0,CA,33.7783,-118.2351,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1004485,UNION COUNTY REGIONAL MSW LANDFILL,141816.0,562212.0,SC,34.6128,-81.8209,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1003692,UNITED REFUSE LANDFILL,13949.6,562212.0,IN,41.037617,-85.208453,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1007984,UPPER PIEDMONT REGIONAL LANDFILL,59539.25,562212.0,NC,36.33719,-78.8299,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1003696,UPPER ROCK ISLAND COUNTY LANDFILL,47750.35,562212.0,IL,41.53668,-90.379678,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1007692,USA VALLEY FAC INC/VALLEY LDFL,17724.65,562212.0,PA,40.385174,-79.67939,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007689,USA WASTE OF VIRGINIA LANDFILLS - BETHEL LANDFILL,41115.2,562212.0,VA,37.07206,-76.42688,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1004831,UWHARRIE ENVIRONMENTAL,69761.0,562212.0,NC,35.3338,-79.96474,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1000800,Union Power Station,5260038.656,221112.0,AR,33.2961,-92.5933,2023,ENTERGY CORP,100.0,ENTERGY,ETR
1000402,University of Florida Cogeneration Plant,203558.444,221112.0,FL,29.6397,-82.3486,2023,DUKE ENERGY CORP,100.0,DUKE ENERGY,DUK
1000910,Urquhart,871163.014,221112.0,SC,33.435,-81.9111,2023,DOMINION ENERGY INC,100.0,DOMINION ENERGY,D
1001104,V H Braunig,2077177.4237328025,221112.0,TX,29.2575,-98.3828,2023,CPS ENERGY,100.0,CPS ENERGY,CMS
1002505,VALERO ALBERT CITY PLANT,189652.736,325193.0,IA,42.775376,-94.942166,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1008110,VALERO CORPUS CHRISTI REFINERY,2752817.918,324110.0,TX,27.81775,-97.482552,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1006959,VALERO CORPUS CHRISTI REFINERY EAST PLANT,1066775.996,324110.0,TX,27.810775,-97.436658,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1008504,VALERO REFINING CO - CALI FORNIA BENICIA REFINERY,2996794.128,324110.0,CA,38.07167,-122.13975,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1007786,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,879101.142,324110.0,OK,34.20569,-97.10417,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1008271,"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC)",1201210.154,324110.0,TN,35.085843,-90.083385,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1006062,VALERO REFINING HOUSTON REFINERY,1266020.674,324110.0,TX,29.722274,-95.254401,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
1008938,VALERO REFINING TEXAS CITY REFINERY,2159862.93,324110.0,TX,29.369167,-94.911111,2023,VALERO ENERGY CORP,100.0,VALERO ENERGY,VLO
